"treatment_label","mean_difference","normal_95_ci","percentile_95_ci","reps"
"C10",3.76315789473684,"[-0.71, 8.23]","[-0.55, 8.39]",1e+05
"TP10",-5.13207547169811,"[-6.53, -3.73]","[-6.53, -3.72]",1e+05
