"treatment","demographic_rows","female_count_from_text","female_share_from_dummy","paper_female_share","female_share_rounded_matches_paper","age_mean","paper_age_mean","age_mean_rounded_matches_paper","age_sd","paper_age_sd","age_sd_rounded_matches_paper","note"
"C10",44,19,0.4318,0.44,"False",21.0455,21.02,"False",2.3423,2.34,"True","demographics are available for questionnaire respondents, not all zTree subjects"
"TP10",102,55,0.5392,0.54,"True",20.7451,20.75,"True",4.1997,4.2,"True","demographics are available for questionnaire respondents, not all zTree subjects"
