"treatment_label","sessions_in_consolidated_data","subjects","agent_earnings","agent_earnings_sd","principal_earnings","principal_earnings_sd","third_party_earnings"
"C10",4,76,20.14,2.95,7.73,5.9,NA
"TP10",8,159,20.66,2.59,6.69,5.19,0
