relative_path,size_bytes,extension,classification,likely_role
Pilot/Z-tree/@19.ztt,72937,ztt,archive only,zTree program
Pilot/Z-tree/@2.ztt,17995,ztt,archive only,zTree program
Pilot/Z-tree/@3.ztt,17995,ztt,archive only,zTree program
Pilot/Z-tree/@4.ztt,17995,ztt,archive only,zTree program
Pilot/Z-tree/@5.ztt,17995,ztt,archive only,zTree program
Pilot/Z-tree/@6.ztt,17995,ztt,archive only,zTree program
Pilot/Z-tree/@7.ztt,17995,ztt,archive only,zTree program
Pilot/Z-tree/@8.ztt,51510,ztt,archive only,zTree program
Pilot/Z-tree/@9.ztt,51690,ztt,archive only,zTree program
Pilot/Z-tree/@db.txt,232,txt,archive only,other archive material
Pilot/Z-tree/@lastclt.txt,77,txt,archive only,other archive material
Pilot/Z-tree/@prevdb.txt,232,txt,archive only,other archive material
Pilot/Z-tree/Autonomy_Scale.ztt,52259,ztt,archive only,zTree program
Pilot/Z-tree/C10_4.ztt,12994,ztt,archive only,zTree program
Pilot/Z-tree/CPU10_4.ztt,11586,ztt,archive only,zTree program
Pilot/Z-tree/old/Autonomy_Scale.ztt,50907,ztt,archive only,zTree program
Pilot/Z-tree/old/C10.ztt,8318,ztt,archive only,zTree program
Pilot/Z-tree/old/C10_2.ztt,11839,ztt,archive only,zTree program
Pilot/Z-tree/old/CPU10_2.ztt,10039,ztt,archive only,zTree program
Pilot/Z-tree/old/managers3.ztt,28392,ztt,archive only,zTree program
Pilot/Z-tree/server.eec,25,eec,archive only,other archive material
Pilot/Z-tree/zleaf.exe,1093632,exe,exclude,other archive material
Pilot/Z-tree/ztree.exe,1646592,exe,exclude,other archive material
Pilot/old/C10_A.doc,44544,doc,archive only,other archive material
Pilot/old/C10_B.doc,29696,doc,archive only,other archive material
Pilot/old/C10_IT_new.doc,33792,doc,archive only,other archive material
Pilot/old/CPU10_A.doc,32256,doc,archive only,other archive material
Pilot/old/CPU10_B.doc,30720,doc,archive only,other archive material
Pilot/old/CPU10_IT_new.doc,36352,doc,archive only,other archive material
Pilot/old/Scale Autonomy.doc,113664,doc,archive only,other archive material
Pilot/old/Scale Autonomy_IT.doc,125952,doc,archive only,other archive material
Pilot/original_instr_F&K.pdf,62682,pdf,archive only,other archive material
Pilot/server.eec,38,eec,archive only,other archive material
Pilot/test.xls,69120,xls,archive only,data or experiment output
Pilot/wp_2010_007.pdf,897551,pdf,archive only,other archive material
Pilot/zz_Istruzioni/C10_IT_new.doc,42496,doc,archive only,other archive material
Pilot/zz_Istruzioni/CPU10_IT_new.doc,44544,doc,archive only,other archive material
Pilot/zz_Istruzioni/Scale Autonomy.doc,115712,doc,archive only,other archive material
Pilot/zz_Istruzioni/Scale Autonomy_IT.doc,129536,doc,archive only,other archive material
Pilot/zz_Istruzioni/ss agente A.bmp,2359350,bmp,archive only,other archive material
Pilot/zz_Istruzioni/ss agente A_cpu.bmp,2359350,bmp,archive only,other archive material
Presentation/Screen Shot 2015-05-01 at 10.02.38 AM.png,35852,png,archive only,presentation/figure source
Presentation/Screen Shot 2015-05-01 at 9.59.45 AM.png,55738,png,archive only,presentation/figure source
Presentation/autonomy_control_lafayette.pptx,5153693,pptx,archive only,presentation/figure source
Presentation/autonomy_control_short_CEBERG.pdf,2227746,pdf,archive only,other archive material
Presentation/autonomy_control_short_CEBERG.pptx,4981019,pptx,archive only,presentation/figure source
Presentation/autonomy_control_short_SEA.pdf,2340166,pdf,archive only,other archive material
Presentation/autonomy_control_short_SEA.pptx,5207811,pptx,archive only,presentation/figure source
Presentation/autonomy_control_short_SFI.pptx,5199906,pptx,archive only,presentation/figure source
Presentation/autonomy_control_short_UMass.pptx,4981977,pptx,archive only,presentation/figure source
Presentation/game_tree.ograph,19325,ograph,archive only,presentation/figure source
Presentation/game_tree.pdf,18394,pdf,archive only,other archive material
Presentation/game_tree_TP10.ograph,20780,ograph,archive only,presentation/figure source
Presentation/game_tree_TP10.pdf,20000,pdf,archive only,other archive material
Principal_expected_payoffs.xlsx,43034,xlsx,archive only,data or experiment output
Proposal/C10_A.doc,44544,doc,archive only,other archive material
Proposal/C10_A_2014.04.24.docx,168956,docx,archive only,other archive material
Proposal/C10_A_TP10.doc,76800,doc,archive only,other archive material
Proposal/C10_A_US (Simon Halliday_s conflicted copy 2014-03-17).doc,45568,doc,archive only,other archive material
Proposal/C10_A_US.doc,49152,doc,archive only,other archive material
Proposal/C10_B_2014.04.24.docx,99274,docx,archive only,other archive material
Proposal/C10_B_US.doc,29696,doc,archive only,other archive material
Proposal/Instruction_C10.doc,51200,doc,archive only,instrument or appendix
Proposal/Project Abstract and Basic Procedure.docx,147276,docx,archive only,other archive material
Proposal/Project.doc,331264,doc,archive only,other archive material
Proposal/Project.pdf,191568,pdf,archive only,other archive material
Proposal/Questionnaire_revised_10.02.2013.docx,121641,docx,archive only,instrument or appendix
Proposal/TP10_US.doc,113664,doc,archive only,other archive material
Proposal/Treatments.docx,117816,docx,archive only,other archive material
Questionnaires/2012_WeinsteinPrzybylskiRyan_JRP.pdf,454951,pdf,needs review,instrument or appendix
Questionnaires/GCOSfull_17 vignette version.pdf,161382,pdf,needs review,instrument or appendix
Questionnaires/General Causality Orientation Scale_12v_original.doc,115712,doc,needs review,instrument or appendix
Questionnaires/draftmanual_svs_14feb2009.doc,281600,doc,needs review,instrument or appendix
Questionnaires/dropped_questions.docx,64778,docx,needs review,instrument or appendix
Questionnaires/personen_en_2005.pdf,388859,pdf,needs review,instrument or appendix
Questionnaires/schwartz-value-inventory.pdf,575413,pdf,needs review,instrument or appendix
Reimburesement and Advances/advance_experimental_subject_payments.pdf,240289,pdf,exclude,administrative/payment record
Reimburesement and Advances/parking_receipts.pdf,19632,pdf,exclude,administrative/payment record
