relative_path,size_bytes,extension,classification,likely_role
data-autonomy/2014.04.25 - T2/140425_1709.gsf,4680699,gsf,needs review,data or experiment output
data-autonomy/2014.04.25 - T2/140425_1709.pay,556,pay,needs review,data or experiment output
data-autonomy/2014.04.25 - T2/140425_1709.sbj,1879,sbj,needs review,data or experiment output
data-autonomy/2014.04.25 - T2/140425_1709.xls,14194,xls,needs review,data or experiment output
data-autonomy/2014.04.25 - T2/questionnaire.xlsx,44767,xlsx,needs review,data or experiment output
data-autonomy/2014.04.29 - C2/140429_0920.adr,947,adr,needs review,data or experiment output
data-autonomy/2014.04.29 - C2/140429_0920.gsf,4242272,gsf,needs review,data or experiment output
data-autonomy/2014.04.29 - C2/140429_0920.pay,538,pay,needs review,data or experiment output
data-autonomy/2014.04.29 - C2/140429_0920.sbj,2503,sbj,needs review,data or experiment output
data-autonomy/2014.04.29 - C2/140429_0920.xls,9723,xls,needs review,data or experiment output
data-autonomy/2014.04.29 - C2/questionnaire_140429_0920.xlsx,41890,xlsx,needs review,data or experiment output
data-autonomy/2014.04.29 - C3/140429_1147.adr,861,adr,needs review,data or experiment output
data-autonomy/2014.04.29 - C3/140429_1147.gsf,3475790,gsf,needs review,data or experiment output
data-autonomy/2014.04.29 - C3/140429_1147.pay,493,pay,needs review,data or experiment output
data-autonomy/2014.04.29 - C3/140429_1147.sbj,190,sbj,needs review,data or experiment output
data-autonomy/2014.04.29 - C3/140429_1147.xls,8880,xls,needs review,data or experiment output
data-autonomy/2014.04.29 - C3/questionnaire_140429_1147.xlsx,35027,xlsx,needs review,data or experiment output
data-autonomy/2014.05.01 - C4/140501_0927.adr,689,adr,needs review,data or experiment output
data-autonomy/2014.05.01 - C4/140501_0927.gsf,2537183,gsf,needs review,data or experiment output
data-autonomy/2014.05.01 - C4/140501_0927.pay,404,pay,needs review,data or experiment output
data-autonomy/2014.05.01 - C4/140501_0927.sbj,154,sbj,needs review,data or experiment output
data-autonomy/2014.05.01 - C4/140501_0927.xls,7287,xls,needs review,data or experiment output
data-autonomy/2014.05.01 - C4/questionnaire_. . . . . . ..xlsx,34886,xlsx,needs review,data or experiment output
data-autonomy/2014.05.01 - T3/140501_1052.adr,861,adr,needs review,data or experiment output
data-autonomy/2014.05.01 - T3/140501_1052.gsf,3712117,gsf,needs review,data or experiment output
data-autonomy/2014.05.01 - T3/140501_1052.pay,489,pay,needs review,data or experiment output
data-autonomy/2014.05.01 - T3/140501_1052.sbj,1558,sbj,needs review,data or experiment output
data-autonomy/2014.05.01 - T3/140501_1052.xls,8855,xls,needs review,data or experiment output
data-autonomy/2014.05.01 - T3/questionnaire_140501_1052.xlsx,40154,xlsx,needs review,data or experiment output
data-autonomy/2014.05.01 - T4/140501_1213.adr,861,adr,needs review,data or experiment output
data-autonomy/2014.05.01 - T4/140501_1213.gsf,3714309,gsf,needs review,data or experiment output
data-autonomy/2014.05.01 - T4/140501_1213.pay,487,pay,needs review,data or experiment output
data-autonomy/2014.05.01 - T4/140501_1213.sbj,1426,sbj,needs review,data or experiment output
data-autonomy/2014.05.01 - T4/140501_1213.xls,8787,xls,needs review,data or experiment output
data-autonomy/2014.05.01 - T4/questionnaire_140501_1213.xlsx,40211,xlsx,needs review,data or experiment output
data-autonomy/2015_autonomy_control_experiments/Control - 2015.04.01 - C1/150401_1409.adr,1119,adr,needs review,data or experiment output
data-autonomy/2015_autonomy_control_experiments/Control - 2015.04.01 - C1/150401_1409.gsf,5581938,gsf,needs review,data or experiment output
data-autonomy/2015_autonomy_control_experiments/Control - 2015.04.01 - C1/150401_1409.pay,612,pay,needs review,data or experiment output
data-autonomy/2015_autonomy_control_experiments/Control - 2015.04.01 - C1/150401_1409.sbj,3386,sbj,needs review,data or experiment output
data-autonomy/2015_autonomy_control_experiments/Control - 2015.04.01 - C1/150401_1409.xls,15874,xls,needs review,data or experiment output
data-autonomy/2015_autonomy_control_experiments/Treatment - 2015.04.01 - Treatment/150401_1456.adr,1119,adr,needs review,data or experiment output
data-autonomy/2015_autonomy_control_experiments/Treatment - 2015.04.01 - Treatment/150401_1456.gsf,5373081,gsf,needs review,data or experiment output
data-autonomy/2015_autonomy_control_experiments/Treatment - 2015.04.01 - Treatment/150401_1456.pay,622,pay,needs review,data or experiment output
data-autonomy/2015_autonomy_control_experiments/Treatment - 2015.04.01 - Treatment/150401_1456.sbj,2304,sbj,needs review,data or experiment output
data-autonomy/2015_autonomy_control_experiments/Treatment - 2015.04.01 - Treatment/150401_1456.xls,11154,xls,needs review,data or experiment output
data-autonomy/2015_autonomy_control_experiments/Treatment - 2015.04.06 - 1100/150406_1046.adr,990,adr,needs review,data or experiment output
data-autonomy/2015_autonomy_control_experiments/Treatment - 2015.04.06 - 1100/150406_1046.gsf,4192602,gsf,needs review,data or experiment output
data-autonomy/2015_autonomy_control_experiments/Treatment - 2015.04.06 - 1100/150406_1046.pay,555,pay,needs review,data or experiment output
data-autonomy/2015_autonomy_control_experiments/Treatment - 2015.04.06 - 1100/150406_1046.sbj,217,sbj,needs review,data or experiment output
data-autonomy/2015_autonomy_control_experiments/Treatment - 2015.04.06 - 1100/150406_1046.xls,9953,xls,needs review,data or experiment output
data-autonomy/2015_autonomy_control_experiments/Treatment - 2015.04.13 - 1000/150413_1027.adr,990,adr,needs review,data or experiment output
data-autonomy/2015_autonomy_control_experiments/Treatment - 2015.04.13 - 1000/150413_1027.gsf,4676982,gsf,needs review,data or experiment output
data-autonomy/2015_autonomy_control_experiments/Treatment - 2015.04.13 - 1000/150413_1027.pay,558,pay,needs review,data or experiment output
data-autonomy/2015_autonomy_control_experiments/Treatment - 2015.04.13 - 1000/150413_1027.sbj,2377,sbj,needs review,data or experiment output
data-autonomy/2015_autonomy_control_experiments/Treatment - 2015.04.13 - 1000/150413_1027.xls,14081,xls,needs review,data or experiment output
data-autonomy/2015_autonomy_control_experiments/Treatment - 2015.04.13 - 1200/150413_1152.adr,990,adr,needs review,data or experiment output
data-autonomy/2015_autonomy_control_experiments/Treatment - 2015.04.13 - 1200/150413_1152.gsf,4213865,gsf,needs review,data or experiment output
data-autonomy/2015_autonomy_control_experiments/Treatment - 2015.04.13 - 1200/150413_1152.pay,556,pay,needs review,data or experiment output
data-autonomy/2015_autonomy_control_experiments/Treatment - 2015.04.13 - 1200/150413_1152.sbj,217,sbj,needs review,data or experiment output
data-autonomy/2015_autonomy_control_experiments/Treatment - 2015.04.13 - 1200/150413_1152.xls,9992,xls,needs review,data or experiment output
data-autonomy/Consolidated/Control data.xlsx,49481,xlsx,archive only,data or experiment output
data-autonomy/Consolidated/Merged_old/merged.xlsx,114505,xlsx,archive only,data or experiment output
data-autonomy/Consolidated/Treatment data.xlsx,89112,xlsx,archive only,data or experiment output
data-autonomy/Consolidated/Treatment data_to merge.xlsx,89123,xlsx,archive only,data or experiment output
data-autonomy/Consolidated/Workbook1.xlsx,30424,xlsx,archive only,data or experiment output
data-autonomy/Consolidated/Workbook3.xlsx,45511,xlsx,archive only,data or experiment output
data-autonomy/Consolidated/merged_control_treatment.csv,66079,csv,include,data or experiment output
data-autonomy/Consolidated/merged_control_treatment.xlsx,120755,xlsx,archive only,data or experiment output
data-autonomy/Consolidated/questionnaires_treatment.xlsx,54249,xlsx,needs review,data or experiment output
data-autonomy/merged_kf_ziegel.csv,46813,csv,include,data or experiment output
data-autonomy/merged_kf_ziegel.xlsx,122828,xlsx,archive only,data or experiment output
data-autonomy/to_merge_kf_ziegelmeyer.xlsx,52262,xlsx,archive only,data or experiment output
gran_proposal_halliday.pdf,91445,pdf,archive only,other archive material
screen_shot_b.png,26845,png,archive only,presentation/figure source
screen_shot_c.png,26800,png,archive only,presentation/figure source
theconversation/PostCovidSurveillance_sdh.docx,69964,docx,archive only,other archive material
ztree_executables/140515_1354.gsf,4,gsf,needs review,data or experiment output
ztree_executables/140515_1410.gsf,4,gsf,needs review,data or experiment output
ztree_executables/140515_2218.gsf,4,gsf,needs review,data or experiment output
ztree_executables/140516_1302.gsf,4,gsf,needs review,data or experiment output
ztree_executables/140516_1315.gsf,4,gsf,needs review,data or experiment output
ztree_executables/140516_1327.gsf,6201,gsf,needs review,data or experiment output
ztree_executables/140516_1327.sbj,117,sbj,needs review,data or experiment output
ztree_executables/140516_1327.xls,480,xls,archive only,data or experiment output
ztree_executables/140516_1557.gsf,4,gsf,needs review,data or experiment output
ztree_executables/140516_2022.gsf,191,gsf,needs review,data or experiment output
ztree_executables/140519_1133.gsf,311,gsf,needs review,data or experiment output
ztree_executables/140519_1137.gsf,191,gsf,needs review,data or experiment output
ztree_executables/140519_1445.gsf,258,gsf,needs review,data or experiment output
ztree_executables/140519_1507.gsf,205,gsf,needs review,data or experiment output
ztree_executables/140519_1519.gsf,138,gsf,needs review,data or experiment output
ztree_executables/140523_1637.gsf,282545,gsf,needs review,data or experiment output
ztree_executables/140523_1637.sbj,118,sbj,needs review,data or experiment output
ztree_executables/140523_1641.gsf,141063,gsf,needs review,data or experiment output
ztree_executables/140523_1641.sbj,110,sbj,needs review,data or experiment output
ztree_executables/140523_1651.gsf,141073,gsf,needs review,data or experiment output
ztree_executables/140523_1651.sbj,120,sbj,needs review,data or experiment output
ztree_executables/140523_1924.gsf,430884,gsf,needs review,data or experiment output
ztree_executables/140523_1924.sbj,120,sbj,needs review,data or experiment output
ztree_executables/140523_1924.xls,2479,xls,archive only,data or experiment output
ztree_executables/140523_1954.gsf,239645,gsf,needs review,data or experiment output
ztree_executables/140523_1954.sbj,129,sbj,needs review,data or experiment output
ztree_executables/140523_1958.gsf,145284,gsf,needs review,data or experiment output
ztree_executables/140523_1958.sbj,120,sbj,needs review,data or experiment output
ztree_executables/140526_1253.gsf,4,gsf,needs review,data or experiment output
ztree_executables/140526_1259.gsf,166914,gsf,needs review,data or experiment output
ztree_executables/140526_1259.sbj,120,sbj,needs review,data or experiment output
ztree_executables/140526_1310.gsf,239785,gsf,needs review,data or experiment output
ztree_executables/140526_1310.sbj,129,sbj,needs review,data or experiment output
ztree_executables/140526_1314.gsf,141044,gsf,needs review,data or experiment output
ztree_executables/140526_1314.sbj,120,sbj,needs review,data or experiment output
ztree_executables/140526_2202.gsf,145396,gsf,needs review,data or experiment output
ztree_executables/140526_2202.sbj,120,sbj,needs review,data or experiment output
ztree_executables/140526_2210.gsf,145404,gsf,needs review,data or experiment output
ztree_executables/140526_2210.sbj,120,sbj,needs review,data or experiment output
ztree_executables/140526_2214.gsf,158186,gsf,needs review,data or experiment output
ztree_executables/140526_2214.sbj,120,sbj,needs review,data or experiment output
ztree_executables/140526_2216.gsf,240031,gsf,needs review,data or experiment output
ztree_executables/140526_2216.sbj,129,sbj,needs review,data or experiment output
ztree_executables/140526_2219.gsf,218481,gsf,needs review,data or experiment output
ztree_executables/140526_2219.sbj,129,sbj,needs review,data or experiment output
ztree_executables/@1.ztt,72937,ztt,archive only,zTree program
ztree_executables/@10.ztt,72937,ztt,archive only,zTree program
ztree_executables/@11.ztt,72997,ztt,archive only,zTree program
ztree_executables/@12.ztt,72937,ztt,archive only,zTree program
ztree_executables/@13.ztt,72921,ztt,archive only,zTree program
ztree_executables/@14.ztt,72981,ztt,archive only,zTree program
ztree_executables/@15.ztt,72921,ztt,archive only,zTree program
ztree_executables/@16.ztt,72993,ztt,archive only,zTree program
ztree_executables/@17.ztt,72997,ztt,archive only,zTree program
ztree_executables/@18.ztt,73001,ztt,archive only,zTree program
ztree_executables/@19.ztt,73061,ztt,archive only,zTree program
ztree_executables/@2.ztt,72937,ztt,archive only,zTree program
ztree_executables/@20.ztt,73061,ztt,archive only,zTree program
ztree_executables/@3.ztt,72937,ztt,archive only,zTree program
ztree_executables/@4.ztt,72937,ztt,archive only,zTree program
ztree_executables/@5.ztt,72937,ztt,archive only,zTree program
ztree_executables/@6.ztt,73057,ztt,archive only,zTree program
ztree_executables/@7.ztt,72937,ztt,archive only,zTree program
ztree_executables/@8.ztt,72937,ztt,archive only,zTree program
ztree_executables/@9.ztt,72937,ztt,archive only,zTree program
ztree_executables/@db.txt,270,txt,archive only,other archive material
ztree_executables/@lastclt.txt,78,txt,archive only,other archive material
ztree_executables/@prevdb.txt,270,txt,archive only,other archive material
ztree_executables/labs2subjects - alttabbed.bat,557,bat,archive only,other archive material
ztree_executables/labs2subjects.bat,134,bat,archive only,other archive material
ztree_executables/labs3subjects - alttabbed.bat,559,bat,archive only,other archive material
ztree_executables/labs3subjects.bat,207,bat,archive only,other archive material
ztree_executables/server.eec,12,eec,archive only,other archive material
ztree_executables/stuff i did while i played around with ztree/@1.ztq,299,ztq,archive only,zTree program
ztree_executables/stuff i did while i played around with ztree/@1.ztt,2378,ztt,archive only,zTree program
ztree_executables/stuff i did while i played around with ztree/@2.ztq,299,ztq,archive only,zTree program
ztree_executables/stuff i did while i played around with ztree/@db.txt,259,txt,archive only,other archive material
ztree_executables/stuff i did while i played around with ztree/@lastclt.txt,32,txt,archive only,other archive material
ztree_executables/stuff i did while i played around with ztree/@prevdb.txt,203,txt,archive only,other archive material
ztree_executables/zleaf.exe,1093632,exe,exclude,other archive material
ztree_executables/ztree.exe,1646592,exe,exclude,other archive material
ztree_lectures/1. Lecture.pdf,4203320,pdf,archive only,other archive material
ztree_lectures/2. Fischbacher 2008 zTree Tutorial.PDF,288818,pdf,archive only,other archive material
ztree_lectures/3. Vesely - 2009 - zTree.PDF,7811624,pdf,archive only,other archive material
ztree_program/01 - Main Treatment - Copy.ztt,73001,ztt,archive only,zTree program
ztree_program/01 - Main Treatment.ztt,72937,ztt,include,zTree program
ztree_program/02 - Questionnaire.ztq,4736,ztq,include,zTree program
ztree_program/03 - Payoff Information.ztt,5052,ztt,include,zTree program
ztree_program/C10_A_2014.04.24.pdf,129215,pdf,archive only,other archive material
ztree_program/TP10_US.pdf,119411,pdf,archive only,other archive material
ztree_program/screen_shot_C10_a.png,26845,png,archive only,presentation/figure source
ztree_program/screen_shot_C10_b.png,21995,png,archive only,presentation/figure source
ztree_program/screen_shot_TP10_a.png,26800,png,archive only,presentation/figure source
ztree_program/screen_shot_TP10_c.png,22114,png,archive only,presentation/figure source
