treatment,source_file,demographic_rows,gender_nonmissing,female_count_from_text,female_share_from_dummy,paper_female_share,female_share_rounded_matches_paper,age_nonmissing,age_mean,paper_age_mean,age_mean_rounded_matches_paper,age_sd,paper_age_sd,age_sd_rounded_matches_paper,note
C10,/private/tmp/autonomy_control_audit/Autonomy_Control/data-autonomy/Consolidated/Workbook3.xlsx,44,44,19,0.4318181818181818,0.44,False,44,21.045454545454547,21.02,False,2.3422762279710723,2.34,True,"demographics are available for questionnaire respondents, not all zTree subjects"
TP10,/private/tmp/autonomy_control_audit/Autonomy_Control/data-autonomy/Consolidated/questionnaires_treatment.xlsx,102,102,55,0.5392156862745098,0.54,True,102,20.745098039215687,20.75,True,4.199684746560291,4.2,True,"demographics are available for questionnaire respondents, not all zTree subjects"
