Experiment,Location,Treatment,Session,Pair,Subject,Role,x_C,x_NC,x_actual,Payoff,,,,
PSZ1,LabJena,C10,PSZ1_C10_2,12,PSZ1_C10_2_24,Agent,10,0,0,120,,,,
PSZ1,LabJena,C10,PSZ1_C10_2,13,PSZ1_C10_2_26,Agent,10,0,10,110,,,,
PSZ1,LabJena,C10,PSZ1_C10_2,14,PSZ1_C10_2_28,Agent,10,0,10,110,,,,
PSZ2,LabTrento,C10,PSZ2_C10_1,1,PSZ2_C10_1_1,Principal,NA,NA,NA,30,,,,
PSZ2,LabTrento,C10,PSZ2_C10_1,2,PSZ2_C10_1_3,Principal,NA,NA,NA,20,,,,
PSZ2,LabTrento,C10,PSZ2_C10_1,3,PSZ2_C10_1_5,Principal,NA,NA,NA,20,,,,
PSZ2,LabTrento,C10,PSZ2_C10_1,4,PSZ2_C10_1_7,Principal,NA,NA,NA,20,,,,
PSZ2,LabTrento,C10,PSZ2_C10_1,5,PSZ2_C10_1_9,Principal,NA,NA,NA,20,,,,
PSZ2,LabTrento,C10,PSZ2_C10_1,6,PSZ2_C10_1_11,Principal,NA,NA,NA,20,,,,
PSZ2,LabTrento,C10,PSZ2_C10_1,7,PSZ2_C10_1_13,Principal,NA,NA,NA,40,,,,
PSZ2,LabTrento,C10,PSZ2_C10_1,8,PSZ2_C10_1_15,Principal,NA,NA,NA,24,,,,
PSZ2,LabTrento,C10,PSZ2_C10_1,9,PSZ2_C10_1_17,Principal,NA,NA,NA,70,,,,
PSZ2,LabTrento,C10,PSZ2_C10_1,10,PSZ2_C10_1_19,Principal,NA,NA,NA,6,,,,
PSZ2,LabTrento,C10,PSZ2_C10_1,1,PSZ2_C10_1_2,Agent,15,35,15,105,,,,
PSZ2,LabTrento,C10,PSZ2_C10_1,2,PSZ2_C10_1_4,Agent,10,0,10,110,,,,
PSZ2,LabTrento,C10,PSZ2_C10_1,3,PSZ2_C10_1_6,Agent,10,1,10,110,,,,
PSZ2,LabTrento,C10,PSZ2_C10_1,4,PSZ2_C10_1_8,Agent,10,30,10,110,,,,
PSZ2,LabTrento,C10,PSZ2_C10_1,5,PSZ2_C10_1_10,Agent,11,10,10,110,,,,
PSZ2,LabTrento,C10,PSZ2_C10_1,6,PSZ2_C10_1_12,Agent,10,0,10,110,,,,
PSZ2,LabTrento,C10,PSZ2_C10_1,7,PSZ2_C10_1_14,Agent,20,25,20,100,,,,
