Experiment,Location,Treatment,Session,Pair,Subject,Role,x_C,x_NC,x_actual,Payoff,,,,
FK,LabZurich,C10,NA,NA,NA,Agent,35,35,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Agent,10,0,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Agent,10,40,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Agent,14,18,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Agent,10,30,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Agent,15,17,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Agent,10,0,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Agent,12,20,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Agent,20,40,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Agent,15,30,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Agent,10,5,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Agent,10,0,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Agent,10,30,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Agent,10,20,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Agent,10,0,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Agent,10,0,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Agent,18,18,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Agent,30,40,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Agent,10,40,NA,NA,,,,
PSZ3,LabJena,C10,PSZ3_C10_1,1,PSZ3_C10_1_1,Principal,NA,NA,NA,0,,,,
PSZ3,LabJena,C10,PSZ3_C10_1,2,PSZ3_C10_1_3,Principal,NA,NA,NA,30,,,,
PSZ3,LabJena,C10,PSZ3_C10_1,3,PSZ3_C10_1_5,Principal,NA,NA,NA,20,,,,
PSZ3,LabJena,C10,PSZ3_C10_1,4,PSZ3_C10_1_7,Principal,NA,NA,NA,0,,,,
PSZ3,LabJena,C10,PSZ3_C10_1,5,PSZ3_C10_1_9,Principal,NA,NA,NA,40,,,,
PSZ3,LabJena,C10,PSZ3_C10_1,6,PSZ3_C10_1_11,Principal,NA,NA,NA,20,,,,
PSZ3,LabJena,C10,PSZ3_C10_1,7,PSZ3_C10_1_13,Principal,NA,NA,NA,0,,,,
PSZ3,LabJena,C10,PSZ3_C10_1,1,PSZ3_C10_1_2,Agent,10,0,0,120,,,,
PSZ3,LabJena,C10,PSZ3_C10_1,2,PSZ3_C10_1_4,Agent,15,15,15,105,,,,
PSZ3,LabJena,C10,PSZ3_C10_1,3,PSZ3_C10_1_6,Agent,10,0,10,110,,,,
PSZ3,LabJena,C10,PSZ3_C10_1,4,PSZ3_C10_1_8,Agent,10,0,0,120,,,,
PSZ3,LabJena,C10,PSZ3_C10_1,5,PSZ3_C10_1_10,Agent,10,20,20,100,,,,
PSZ3,LabJena,C10,PSZ3_C10_1,6,PSZ3_C10_1_12,Agent,10,0,10,110,,,,
PSZ3,LabJena,C10,PSZ3_C10_1,7,PSZ3_C10_1_14,Agent,10,0,0,120,,,,
PSZ3,LabJena,C10,PSZ3_C10_2,1,PSZ3_C10_2_1,Principal,NA,NA,NA,24,,,,
PSZ3,LabJena,C10,PSZ3_C10_2,2,PSZ3_C10_2_3,Principal,NA,NA,NA,30,,,,
PSZ3,LabJena,C10,PSZ3_C10_2,3,PSZ3_C10_2_5,Principal,NA,NA,NA,10,,,,
PSZ3,LabJena,C10,PSZ3_C10_2,4,PSZ3_C10_2_7,Principal,NA,NA,NA,0,,,,
PSZ3,LabJena,C10,PSZ3_C10_2,5,PSZ3_C10_2_9,Principal,NA,NA,NA,60,,,,
PSZ3,LabJena,C10,PSZ3_C10_2,6,PSZ3_C10_2_11,Principal,NA,NA,NA,60,,,,
PSZ3,LabJena,C10,PSZ3_C10_2,7,PSZ3_C10_2_13,Principal,NA,NA,NA,80,,,,
PSZ3,LabJena,C10,PSZ3_C10_2,8,PSZ3_C10_2_15,Principal,NA,NA,NA,20,,,,
PSZ3,LabJena,C10,PSZ3_C10_2,9,PSZ3_C10_2_17,Principal,NA,NA,NA,20,,,,
PSZ3,LabJena,C10,PSZ3_C10_2,1,PSZ3_C10_2_2,Agent,12,12,12,108,,,,
PSZ3,LabJena,C10,PSZ3_C10_2,2,PSZ3_C10_2_4,Agent,15,20,15,105,,,,
PSZ3,LabJena,C10,PSZ3_C10_2,3,PSZ3_C10_2_6,Agent,10,5,5,115,,,,
PSZ3,LabJena,C10,PSZ3_C10_2,4,PSZ3_C10_2_8,Agent,10,0,0,120,,,,
PSZ3,LabJena,C10,PSZ3_C10_2,5,PSZ3_C10_2_10,Agent,30,40,30,90,,,,
PSZ3,LabJena,C10,PSZ3_C10_2,6,PSZ3_C10_2_12,Agent,30,40,30,90,,,,
PSZ3,LabJena,C10,PSZ3_C10_2,7,PSZ3_C10_2_14,Agent,40,40,40,80,,,,
PSZ3,LabJena,C10,PSZ3_C10_2,8,PSZ3_C10_2_16,Agent,10,25,10,110,,,,
PSZ3,LabJena,C10,PSZ3_C10_2,9,PSZ3_C10_2_18,Agent,10,5,10,110,,,,
PSZ3,LabJena,C10,PSZ3_C10_3,1,PSZ3_C10_3_1,Principal,NA,NA,NA,26,,,,
PSZ3,LabJena,C10,PSZ3_C10_3,2,PSZ3_C10_3_3,Principal,NA,NA,NA,40,,,,
PSZ3,LabJena,C10,PSZ3_C10_3,3,PSZ3_C10_3_5,Principal,NA,NA,NA,20,,,,
PSZ3,LabJena,C10,PSZ3_C10_3,4,PSZ3_C10_3_7,Principal,NA,NA,NA,20,,,,
PSZ3,LabJena,C10,PSZ3_C10_3,5,PSZ3_C10_3_9,Principal,NA,NA,NA,20,,,,
PSZ3,LabJena,C10,PSZ3_C10_3,6,PSZ3_C10_3_11,Principal,NA,NA,NA,0,,,,
PSZ3,LabJena,C10,PSZ3_C10_3,7,PSZ3_C10_3_13,Principal,NA,NA,NA,70,,,,
PSZ3,LabJena,C10,PSZ3_C10_3,1,PSZ3_C10_3_2,Agent,13,20,13,107,,,,
PSZ3,LabJena,C10,PSZ3_C10_3,2,PSZ3_C10_3_4,Agent,11,20,20,100,,,,
PSZ3,LabJena,C10,PSZ3_C10_3,3,PSZ3_C10_3_6,Agent,10,10,10,110,,,,
PSZ3,LabJena,C10,PSZ3_C10_3,4,PSZ3_C10_3_8,Agent,10,0,10,110,,,,
PSZ3,LabJena,C10,PSZ3_C10_3,5,PSZ3_C10_3_10,Agent,10,0,10,110,,,,
PSZ3,LabJena,C10,PSZ3_C10_3,6,PSZ3_C10_3_12,Agent,10,0,0,120,,,,
PSZ3,LabJena,C10,PSZ3_C10_3,7,PSZ3_C10_3_14,Agent,35,35,35,85,,,,
PSZ3,LabJena,C10,PSZ3_C10_4,1,PSZ3_C10_4_1,Principal,NA,NA,NA,20,,,,
PSZ3,LabJena,C10,PSZ3_C10_4,2,PSZ3_C10_4_3,Principal,NA,NA,NA,80,,,,
PSZ3,LabJena,C10,PSZ3_C10_4,3,PSZ3_C10_4_5,Principal,NA,NA,NA,50,,,,
PSZ3,LabJena,C10,PSZ3_C10_4,4,PSZ3_C10_4_7,Principal,NA,NA,NA,40,,,,
PSZ3,LabJena,C10,PSZ3_C10_4,5,PSZ3_C10_4_9,Principal,NA,NA,NA,20,,,,
PSZ3,LabJena,C10,PSZ3_C10_4,6,PSZ3_C10_4_11,Principal,NA,NA,NA,20,,,,
PSZ3,LabJena,C10,PSZ3_C10_4,7,PSZ3_C10_4_13,Principal,NA,NA,NA,60,,,,
PSZ3,LabJena,C10,PSZ3_C10_4,8,PSZ3_C10_4_15,Principal,NA,NA,NA,20,,,,
PSZ3,LabJena,C10,PSZ3_C10_4,9,PSZ3_C10_4_17,Principal,NA,NA,NA,30,,,,
PSZ3,LabJena,C10,PSZ3_C10_4,10,PSZ3_C10_4_19,Principal,NA,NA,NA,20,,,,
PSZ3,LabJena,C10,PSZ3_C10_4,1,PSZ3_C10_4_2,Agent,10,0,10,110,,,,
PSZ3,LabJena,C10,PSZ3_C10_4,2,PSZ3_C10_4_4,Agent,10,40,40,80,,,,
PSZ3,LabJena,C10,PSZ3_C10_4,3,PSZ3_C10_4_6,Agent,15,25,25,95,,,,
PSZ3,LabJena,C10,PSZ3_C10_4,4,PSZ3_C10_4_8,Agent,10,20,20,100,,,,
PSZ3,LabJena,C10,PSZ3_C10_4,5,PSZ3_C10_4_10,Agent,10,20,10,110,,,,
PSZ3,LabJena,C10,PSZ3_C10_4,6,PSZ3_C10_4_12,Agent,10,0,10,110,,,,
PSZ3,LabJena,C10,PSZ3_C10_4,7,PSZ3_C10_4_14,Agent,15,30,30,90,,,,
PSZ3,LabJena,C10,PSZ3_C10_4,8,PSZ3_C10_4_16,Agent,10,30,10,110,,,,
PSZ3,LabJena,C10,PSZ3_C10_4,9,PSZ3_C10_4_18,Agent,15,30,15,105,,,,
PSZ3,LabJena,C10,PSZ3_C10_4,10,PSZ3_C10_4_20,Agent,10,25,10,110,,,,
PSZ4,LabJena,C10,PSZ4_C10_1,1,PSZ4_C10_1_1,Principal,NA,NA,NA,80,,,,
PSZ4,LabJena,C10,PSZ4_C10_1,2,PSZ4_C10_1_3,Principal,NA,NA,NA,80,,,,
PSZ4,LabJena,C10,PSZ4_C10_1,3,PSZ4_C10_1_5,Principal,NA,NA,NA,0,,,,
PSZ4,LabJena,C10,PSZ4_C10_1,4,PSZ4_C10_1_7,Principal,NA,NA,NA,30,,,,
PSZ4,LabJena,C10,PSZ4_C10_1,5,PSZ4_C10_1_9,Principal,NA,NA,NA,40,,,,
PSZ4,LabJena,C10,PSZ4_C10_1,6,PSZ4_C10_1_11,Principal,NA,NA,NA,70,,,,
PSZ4,LabJena,C10,PSZ4_C10_1,7,PSZ4_C10_1_13,Principal,NA,NA,NA,40,,,,
PSZ4,LabJena,C10,PSZ4_C10_1,8,PSZ4_C10_1_15,Principal,NA,NA,NA,80,,,,
PSZ4,LabJena,C10,PSZ4_C10_1,9,PSZ4_C10_1_17,Principal,NA,NA,NA,80,,,,
PSZ4,LabJena,C10,PSZ4_C10_1,10,PSZ4_C10_1_19,Principal,NA,NA,NA,20,,,,
PSZ4,LabJena,C10,PSZ4_C10_1,11,PSZ4_C10_1_21,Principal,NA,NA,NA,20,,,,
PSZ4,LabJena,C10,PSZ4_C10_1,12,PSZ4_C10_1_23,Principal,NA,NA,NA,20,,,,
PSZ4,LabJena,C10,PSZ4_C10_1,13,PSZ4_C10_1_25,Principal,NA,NA,NA,80,,,,
PSZ4,LabJena,C10,PSZ4_C10_1,14,PSZ4_C10_1_27,Principal,NA,NA,NA,80,,,,
PSZ4,LabJena,C10,PSZ4_C10_1,15,PSZ4_C10_1_29,Principal,NA,NA,NA,20,,,,
PSZ4,LabJena,C10,PSZ4_C10_1,16,PSZ4_C10_1_31,Principal,NA,NA,NA,80,,,,
PSZ4,LabJena,C10,PSZ4_C10_1,1,PSZ4_C10_1_2,Agent,40,40,40,80,,,,
PSZ4,LabJena,C10,PSZ4_C10_1,2,PSZ4_C10_1_4,Agent,40,40,40,80,,,,
PSZ4,LabJena,C10,PSZ4_C10_1,3,PSZ4_C10_1_6,Agent,10,0,0,120,,,,
PSZ4,LabJena,C10,PSZ4_C10_1,4,PSZ4_C10_1_8,Agent,15,30,15,105,,,,
PSZ4,LabJena,C10,PSZ4_C10_1,5,PSZ4_C10_1_10,Agent,20,40,20,100,,,,
PSZ4,LabJena,C10,PSZ4_C10_1,6,PSZ4_C10_1_12,Agent,11,35,35,85,,,,
PSZ4,LabJena,C10,PSZ4_C10_1,7,PSZ4_C10_1_14,Agent,20,40,20,100,,,,
PSZ4,LabJena,C10,PSZ4_C10_1,8,PSZ4_C10_1_16,Agent,40,40,40,80,,,,
PSZ4,LabJena,C10,PSZ4_C10_1,9,PSZ4_C10_1_18,Agent,10,40,40,80,,,,
PSZ4,LabJena,C10,PSZ4_C10_1,10,PSZ4_C10_1_20,Agent,10,50,10,110,,,,
PSZ4,LabJena,C10,PSZ4_C10_1,11,PSZ4_C10_1_22,Agent,10,30,10,110,,,,
PSZ4,LabJena,C10,PSZ4_C10_1,12,PSZ4_C10_1_24,Agent,10,0,10,110,,,,
PSZ4,LabJena,C10,PSZ4_C10_1,13,PSZ4_C10_1_26,Agent,10,40,40,80,,,,
PSZ4,LabJena,C10,PSZ4_C10_1,14,PSZ4_C10_1_28,Agent,20,40,40,80,,,,
PSZ4,LabJena,C10,PSZ4_C10_1,15,PSZ4_C10_1_30,Agent,10,25,10,110,,,,
PSZ4,LabJena,C10,PSZ4_C10_1,16,PSZ4_C10_1_32,Agent,40,40,40,80,,,,
PSZ4,LabJena,C10,PSZ4_C10_2,1,PSZ4_C10_2_1,Principal,NA,NA,NA,60,,,,
PSZ4,LabJena,C10,PSZ4_C10_2,2,PSZ4_C10_2_3,Principal,NA,NA,NA,60,,,,
PSZ4,LabJena,C10,PSZ4_C10_2,3,PSZ4_C10_2_5,Principal,NA,NA,NA,54,,,,
PSZ4,LabJena,C10,PSZ4_C10_2,4,PSZ4_C10_2_7,Principal,NA,NA,NA,20,,,,
PSZ4,LabJena,C10,PSZ4_C10_2,5,PSZ4_C10_2_9,Principal,NA,NA,NA,80,,,,
PSZ4,LabJena,C10,PSZ4_C10_2,1,PSZ4_C10_2_2,Agent,30,30,30,90,,,,
PSZ4,LabJena,C10,PSZ4_C10_2,2,PSZ4_C10_2_4,Agent,10,30,30,90,,,,
PSZ4,LabJena,C10,PSZ4_C10_2,3,PSZ4_C10_2_6,Agent,22,27,27,93,,,,
PSZ4,LabJena,C10,PSZ4_C10_2,4,PSZ4_C10_2_8,Agent,10,40,10,110,,,,
PSZ4,LabJena,C10,PSZ4_C10_2,5,PSZ4_C10_2_10,Agent,40,40,40,80,,,,
PSZ4,LabJena,C10,PSZ4_C10_3,1,PSZ4_C10_3_1,Principal,NA,NA,NA,80,,,,
PSZ4,LabJena,C10,PSZ4_C10_3,2,PSZ4_C10_3_3,Principal,NA,NA,NA,80,,,,
PSZ4,LabJena,C10,PSZ4_C10_3,3,PSZ4_C10_3_5,Principal,NA,NA,NA,20,,,,
PSZ4,LabJena,C10,PSZ4_C10_3,4,PSZ4_C10_3_7,Principal,NA,NA,NA,0,,,,
PSZ4,LabJena,C10,PSZ4_C10_3,5,PSZ4_C10_3_9,Principal,NA,NA,NA,40,,,,
PSZ4,LabJena,C10,PSZ4_C10_3,6,PSZ4_C10_3_11,Principal,NA,NA,NA,54,,,,
PSZ4,LabJena,C10,PSZ4_C10_3,7,PSZ4_C10_3_13,Principal,NA,NA,NA,0,,,,
PSZ4,LabJena,C10,PSZ4_C10_3,8,PSZ4_C10_3_15,Principal,NA,NA,NA,80,,,,
PSZ4,LabJena,C10,PSZ4_C10_3,9,PSZ4_C10_3_17,Principal,NA,NA,NA,20,,,,
PSZ4,LabJena,C10,PSZ4_C10_3,10,PSZ4_C10_3_19,Principal,NA,NA,NA,40,,,,
PSZ4,LabJena,C10,PSZ4_C10_3,1,PSZ4_C10_3_2,Agent,40,40,40,80,,,,
PSZ4,LabJena,C10,PSZ4_C10_3,2,PSZ4_C10_3_4,Agent,40,40,40,80,,,,
PSZ4,LabJena,C10,PSZ4_C10_3,3,PSZ4_C10_3_6,Agent,10,0,10,110,,,,
PSZ4,LabJena,C10,PSZ4_C10_3,4,PSZ4_C10_3_8,Agent,10,0,0,120,,,,
PSZ4,LabJena,C10,PSZ4_C10_3,5,PSZ4_C10_3_10,Agent,20,40,20,100,,,,
PSZ4,LabJena,C10,PSZ4_C10_3,6,PSZ4_C10_3_12,Agent,11,27,27,93,,,,
PSZ4,LabJena,C10,PSZ4_C10_3,7,PSZ4_C10_3_14,Agent,10,0,0,120,,,,
PSZ4,LabJena,C10,PSZ4_C10_3,8,PSZ4_C10_3_16,Agent,40,40,40,80,,,,
PSZ4,LabJena,C10,PSZ4_C10_3,9,PSZ4_C10_3_18,Agent,10,0,10,110,,,,
PSZ4,LabJena,C10,PSZ4_C10_3,10,PSZ4_C10_3_20,Agent,10,20,20,100,,,,
PSZ4,LabJena,C10,PSZ4_C10_4,1,PSZ4_C10_4_1,Principal,NA,NA,NA,80,,,,
PSZ4,LabJena,C10,PSZ4_C10_4,2,PSZ4_C10_4_3,Principal,NA,NA,NA,40,,,,
PSZ4,LabJena,C10,PSZ4_C10_4,3,PSZ4_C10_4_5,Principal,NA,NA,NA,40,,,,
PSZ4,LabJena,C10,PSZ4_C10_4,4,PSZ4_C10_4_7,Principal,NA,NA,NA,80,,,,
PSZ4,LabJena,C10,PSZ4_C10_4,5,PSZ4_C10_4_9,Principal,NA,NA,NA,20,,,,
PSZ4,LabJena,C10,PSZ4_C10_4,6,PSZ4_C10_4_11,Principal,NA,NA,NA,0,,,,
PSZ4,LabJena,C10,PSZ4_C10_4,7,PSZ4_C10_4_13,Principal,NA,NA,NA,20,,,,
PSZ4,LabJena,C10,PSZ4_C10_4,8,PSZ4_C10_4_15,Principal,NA,NA,NA,40,,,,
PSZ4,LabJena,C10,PSZ4_C10_4,9,PSZ4_C10_4_17,Principal,NA,NA,NA,10,,,,
PSZ4,LabJena,C10,PSZ4_C10_4,10,PSZ4_C10_4_19,Principal,NA,NA,NA,80,,,,
PSZ4,LabJena,C10,PSZ4_C10_4,11,PSZ4_C10_4_21,Principal,NA,NA,NA,0,,,,
PSZ4,LabJena,C10,PSZ4_C10_4,1,PSZ4_C10_4_2,Agent,40,40,40,80,,,,
PSZ4,LabJena,C10,PSZ4_C10_4,2,PSZ4_C10_4_4,Agent,10,20,20,100,,,,
PSZ4,LabJena,C10,PSZ4_C10_4,3,PSZ4_C10_4_6,Agent,10,20,20,100,,,,
PSZ4,LabJena,C10,PSZ4_C10_4,4,PSZ4_C10_4_8,Agent,40,40,40,80,,,,
PSZ4,LabJena,C10,PSZ4_C10_4,5,PSZ4_C10_4_10,Agent,10,20,10,110,,,,
PSZ4,LabJena,C10,PSZ4_C10_4,6,PSZ4_C10_4_12,Agent,10,0,0,120,,,,
PSZ4,LabJena,C10,PSZ4_C10_4,7,PSZ4_C10_4_14,Agent,10,25,10,110,,,,
PSZ4,LabJena,C10,PSZ4_C10_4,8,PSZ4_C10_4_16,Agent,15,20,20,100,,,,
PSZ4,LabJena,C10,PSZ4_C10_4,9,PSZ4_C10_4_18,Agent,20,5,5,115,,,,
PSZ4,LabJena,C10,PSZ4_C10_4,10,PSZ4_C10_4_20,Agent,40,40,40,80,,,,
PSZ4,LabJena,C10,PSZ4_C10_4,11,PSZ4_C10_4_22,Agent,10,0,0,120,,,,
PSZ4,LabJena,C10,PSZ4_C10_5,1,PSZ4_C10_5_1,Principal,NA,NA,NA,80,,,,
PSZ4,LabJena,C10,PSZ4_C10_5,2,PSZ4_C10_5_3,Principal,NA,NA,NA,20,,,,
PSZ4,LabJena,C10,PSZ4_C10_5,3,PSZ4_C10_5_5,Principal,NA,NA,NA,0,,,,
PSZ4,LabJena,C10,PSZ4_C10_5,4,PSZ4_C10_5_7,Principal,NA,NA,NA,40,,,,
PSZ4,LabJena,C10,PSZ4_C10_5,5,PSZ4_C10_5_9,Principal,NA,NA,NA,20,,,,
PSZ4,LabJena,C10,PSZ4_C10_5,6,PSZ4_C10_5_11,Principal,NA,NA,NA,30,,,,
PSZ4,LabJena,C10,PSZ4_C10_5,7,PSZ4_C10_5_13,Principal,NA,NA,NA,20,,,,
PSZ4,LabJena,C10,PSZ4_C10_5,8,PSZ4_C10_5_15,Principal,NA,NA,NA,20,,,,
PSZ4,LabJena,C10,PSZ4_C10_5,9,PSZ4_C10_5_17,Principal,NA,NA,NA,80,,,,
PSZ4,LabJena,C10,PSZ4_C10_5,10,PSZ4_C10_5_19,Principal,NA,NA,NA,80,,,,
PSZ4,LabJena,C10,PSZ4_C10_5,11,PSZ4_C10_5_21,Principal,NA,NA,NA,80,,,,
PSZ4,LabJena,C10,PSZ4_C10_5,12,PSZ4_C10_5_23,Principal,NA,NA,NA,80,,,,
PSZ4,LabJena,C10,PSZ4_C10_5,13,PSZ4_C10_5_25,Principal,NA,NA,NA,30,,,,
PSZ4,LabJena,C10,PSZ4_C10_5,14,PSZ4_C10_5_27,Principal,NA,NA,NA,80,,,,
PSZ4,LabJena,C10,PSZ4_C10_5,15,PSZ4_C10_5_29,Principal,NA,NA,NA,60,,,,
PSZ4,LabJena,C10,PSZ4_C10_5,1,PSZ4_C10_5_2,Agent,40,40,40,80,,,,
PSZ4,LabJena,C10,PSZ4_C10_5,2,PSZ4_C10_5_4,Agent,10,120,10,110,,,,
PSZ4,LabJena,C10,PSZ4_C10_5,3,PSZ4_C10_5_6,Agent,10,0,0,120,,,,
PSZ4,LabJena,C10,PSZ4_C10_5,4,PSZ4_C10_5_8,Agent,10,20,20,100,,,,
PSZ4,LabJena,C10,PSZ4_C10_5,5,PSZ4_C10_5_10,Agent,10,0,10,110,,,,
PSZ4,LabJena,C10,PSZ4_C10_5,6,PSZ4_C10_5_12,Agent,15,20,15,105,,,,
PSZ4,LabJena,C10,PSZ4_C10_5,7,PSZ4_C10_5_14,Agent,10,10,10,110,,,,
PSZ4,LabJena,C10,PSZ4_C10_5,8,PSZ4_C10_5_16,Agent,10,10,10,110,,,,
PSZ4,LabJena,C10,PSZ4_C10_5,9,PSZ4_C10_5_18,Agent,40,40,40,80,,,,
PSZ4,LabJena,C10,PSZ4_C10_5,10,PSZ4_C10_5_20,Agent,40,40,40,80,,,,
PSZ4,LabJena,C10,PSZ4_C10_5,11,PSZ4_C10_5_22,Agent,20,40,40,80,,,,
PSZ4,LabJena,C10,PSZ4_C10_5,12,PSZ4_C10_5_24,Agent,40,40,40,80,,,,
PSZ4,LabJena,C10,PSZ4_C10_5,13,PSZ4_C10_5_26,Agent,15,0,15,105,,,,
PSZ4,LabJena,C10,PSZ4_C10_5,14,PSZ4_C10_5_28,Agent,40,40,40,80,,,,
PSZ4,LabJena,C10,PSZ4_C10_5,15,PSZ4_C10_5_30,Agent,19,30,30,90,,,,
PSZ5,LabJena,C10,PSZ5_C10_1,1,PSZ5_C10_1_1,Principal,NA,NA,NA,0,,,,
PSZ5,LabJena,C10,PSZ5_C10_1,2,PSZ5_C10_1_3,Principal,NA,NA,NA,20,,,,
PSZ5,LabJena,C10,PSZ5_C10_1,3,PSZ5_C10_1_5,Principal,NA,NA,NA,30,,,,
PSZ5,LabJena,C10,PSZ5_C10_1,4,PSZ5_C10_1_7,Principal,NA,NA,NA,0,,,,
PSZ5,LabJena,C10,PSZ5_C10_1,5,PSZ5_C10_1_9,Principal,NA,NA,NA,20,,,,
PSZ5,LabJena,C10,PSZ5_C10_1,6,PSZ5_C10_1_11,Principal,NA,NA,NA,20,,,,
PSZ5,LabJena,C10,PSZ5_C10_1,7,PSZ5_C10_1_13,Principal,NA,NA,NA,80,,,,
PSZ5,LabJena,C10,PSZ5_C10_1,8,PSZ5_C10_1_15,Principal,NA,NA,NA,0,,,,
PSZ5,LabJena,C10,PSZ5_C10_1,9,PSZ5_C10_1_17,Principal,NA,NA,NA,20,,,,
PSZ5,LabJena,C10,PSZ5_C10_1,10,PSZ5_C10_1_19,Principal,NA,NA,NA,50,,,,
PSZ5,LabJena,C10,PSZ5_C10_1,11,PSZ5_C10_1_21,Principal,NA,NA,NA,0,,,,
PSZ5,LabJena,C10,PSZ5_C10_1,12,PSZ5_C10_1_23,Principal,NA,NA,NA,80,,,,
PSZ5,LabJena,C10,PSZ5_C10_1,13,PSZ5_C10_1_25,Principal,NA,NA,NA,20,,,,
PSZ5,LabJena,C10,PSZ5_C10_1,14,PSZ5_C10_1_27,Principal,NA,NA,NA,20,,,,
PSZ5,LabJena,C10,PSZ5_C10_1,1,PSZ5_C10_1_2,Agent,10,0,0,120,,,,
PSZ5,LabJena,C10,PSZ5_C10_1,2,PSZ5_C10_1_4,Agent,10,5,10,110,,,,
PSZ5,LabJena,C10,PSZ5_C10_1,3,PSZ5_C10_1_6,Agent,15,20,15,105,,,,
PSZ5,LabJena,C10,PSZ5_C10_1,4,PSZ5_C10_1_8,Agent,10,0,0,120,,,,
PSZ5,LabJena,C10,PSZ5_C10_1,5,PSZ5_C10_1_10,Agent,10,0,10,110,,,,
PSZ5,LabJena,C10,PSZ5_C10_1,6,PSZ5_C10_1_12,Agent,10,5,10,110,,,,
PSZ5,LabJena,C10,PSZ5_C10_1,7,PSZ5_C10_1_14,Agent,40,40,40,80,,,,
PSZ5,LabJena,C10,PSZ5_C10_1,8,PSZ5_C10_1_16,Agent,10,0,0,120,,,,
PSZ5,LabJena,C10,PSZ5_C10_1,9,PSZ5_C10_1_18,Agent,10,0,10,110,,,,
PSZ5,LabJena,C10,PSZ5_C10_1,10,PSZ5_C10_1_20,Agent,10,25,25,95,,,,
PSZ5,LabJena,C10,PSZ5_C10_1,11,PSZ5_C10_1_22,Agent,10,0,0,120,,,,
PSZ5,LabJena,C10,PSZ5_C10_1,12,PSZ5_C10_1_24,Agent,40,40,40,80,,,,
PSZ5,LabJena,C10,PSZ5_C10_1,13,PSZ5_C10_1_26,Agent,10,0,10,110,,,,
PSZ5,LabJena,C10,PSZ5_C10_1,14,PSZ5_C10_1_28,Agent,10,20,10,110,,,,
PSZ5,LabJena,C10,PSZ5_C10_2,1,PSZ5_C10_2_1,Principal,NA,NA,NA,60,,,,
PSZ5,LabJena,C10,PSZ5_C10_2,2,PSZ5_C10_2_3,Principal,NA,NA,NA,40,,,,
PSZ5,LabJena,C10,PSZ5_C10_2,3,PSZ5_C10_2_5,Principal,NA,NA,NA,50,,,,
PSZ5,LabJena,C10,PSZ5_C10_2,4,PSZ5_C10_2_7,Principal,NA,NA,NA,40,,,,
PSZ5,LabJena,C10,PSZ5_C10_2,5,PSZ5_C10_2_9,Principal,NA,NA,NA,20,,,,
PSZ5,LabJena,C10,PSZ5_C10_2,6,PSZ5_C10_2_11,Principal,NA,NA,NA,20,,,,
PSZ5,LabJena,C10,PSZ5_C10_2,7,PSZ5_C10_2_13,Principal,NA,NA,NA,40,,,,
PSZ5,LabJena,C10,PSZ5_C10_2,8,PSZ5_C10_2_15,Principal,NA,NA,NA,20,,,,
PSZ5,LabJena,C10,PSZ5_C10_2,9,PSZ5_C10_2_17,Principal,NA,NA,NA,80,,,,
PSZ5,LabJena,C10,PSZ5_C10_2,10,PSZ5_C10_2_19,Principal,NA,NA,NA,0,,,,
PSZ5,LabJena,C10,PSZ5_C10_2,11,PSZ5_C10_2_21,Principal,NA,NA,NA,20,,,,
PSZ5,LabJena,C10,PSZ5_C10_2,12,PSZ5_C10_2_23,Principal,NA,NA,NA,80,,,,
PSZ5,LabJena,C10,PSZ5_C10_2,13,PSZ5_C10_2_25,Principal,NA,NA,NA,0,,,,
PSZ5,LabJena,C10,PSZ5_C10_2,14,PSZ5_C10_2_27,Principal,NA,NA,NA,40,,,,
PSZ5,LabJena,C10,PSZ5_C10_2,1,PSZ5_C10_2_2,Agent,10,30,30,90,,,,
PSZ5,LabJena,C10,PSZ5_C10_2,2,PSZ5_C10_2_4,Agent,20,40,20,100,,,,
PSZ5,LabJena,C10,PSZ5_C10_2,3,PSZ5_C10_2_6,Agent,25,25,25,95,,,,
PSZ5,LabJena,C10,PSZ5_C10_2,4,PSZ5_C10_2_8,Agent,15,20,20,100,,,,
PSZ5,LabJena,C10,PSZ5_C10_2,5,PSZ5_C10_2_10,Agent,10,30,10,110,,,,
PSZ5,LabJena,C10,PSZ5_C10_2,6,PSZ5_C10_2_12,Agent,10,0,10,110,,,,
PSZ5,LabJena,C10,PSZ5_C10_2,7,PSZ5_C10_2_14,Agent,10,20,20,100,,,,
